"Story","Title","Result","Date","Stability","Duration (s)"
"ToggleAllTodos","Should be able to toggle status of all todos with page objects","SUCCESS","2023-08-24T18:42:33.553592267Z[Etc/UTC]","0.0","0.93"
"ToggleAllTodos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2023-08-24T18:42:35.629467436Z[Etc/UTC]","0.0","0.8"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-08-24T18:42:37.216343575Z[Etc/UTC]","0.0","0.85"
"ToggleAllTodos","Should be able to quickly complete all todos with page objects","SUCCESS","2023-08-24T18:42:38.734622383Z[Etc/UTC]","0.0","0.82"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-08-24T18:42:43.239401004Z[Etc/UTC]","0.0","0.83"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-08-24T18:42:45.077551764Z[Etc/UTC]","0.0","0.79"
"DeletingTodos","Should be able to delete todos with page objects","SUCCESS","2023-08-24T18:42:40.375648928Z[Etc/UTC]","0.0","0.8"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-08-24T18:42:41.787031342Z[Etc/UTC]","0.0","0.82"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-08-24T18:42:46.462588424Z[Etc/UTC]","0.0","0.86"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-08-24T18:42:48.502373472Z[Etc/UTC]","0.0","0.85"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-08-24T18:42:50.492914578Z[Etc/UTC]","0.0","0.82"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-08-24T18:43:02.447505629Z[Etc/UTC]","0.0","0.82"
"LearnAboutTheApplication","Should be able to identify the application","SUCCESS","2023-08-24T18:43:40.908409804Z[Etc/UTC]","0.0","0.47"
"LearnAboutTheApplication","Should see how to begin","SUCCESS","2023-08-24T18:43:42.022552715Z[Etc/UTC]","0.0","0.52"
"CompleteATodo","Should be able to complete a todo using imperative code","SUCCESS","2023-08-24T18:43:17.218737275Z[Etc/UTC]","0.0","0.8"
"CompleteATodo","Should be able to complete a todo using a bdd style","SUCCESS","2023-08-24T18:43:18.128365223Z[Etc/UTC]","0.0","0.49"
"CompleteATodo","Should be able to toggle the status of all todos","SUCCESS","2023-08-24T18:43:19.796260493Z[Etc/UTC]","0.0","0.5"
"CompleteATodo","Should be able to complete a todo","SUCCESS","2023-08-24T18:43:21.57049348Z[Etc/UTC]","0.0","0.55"
"CompleteATodo","Should be able to complete a todo using page objects","SUCCESS","2023-08-24T18:43:23.260835117Z[Etc/UTC]","0.0","0.71"
"CompleteATodo","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-24T18:43:24.055673586Z[Etc/UTC]","0.0","0.45"
"DownloadTheApp","Should see the number of todos decrease when an item is completed","SUCCESS","2023-08-24T18:43:04.049669297Z[Etc/UTC]","0.0","0.48"
"DownloadTheApp","Should be able to download the application","SUCCESS","2023-08-24T18:43:05.557941401Z[Etc/UTC]","0.0","0.79"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete","SUCCESS","2023-08-24T18:43:31.716753861Z[Etc/UTC]","0.0","0.48"
"ClearCompletedTodos","Should be able to clear completed todos","SUCCESS","2023-08-24T18:43:33.092311871Z[Etc/UTC]","0.0","0.53"
"DeletingTodos","Should be able to delete todos","SUCCESS","2023-08-24T18:43:25.585999546Z[Etc/UTC]","0.0","0.48"
"DeletingTodos","Should see deleting a todo decreases the remaining items count","SUCCESS","2023-08-24T18:43:27.039414287Z[Etc/UTC]","0.0","0.49"
"FilteringTodos","Should be able to view only incomplete todos","SUCCESS","2023-08-24T18:43:35.054252129Z[Etc/UTC]","0.0","0.47"
"FilteringTodos","Should be able to view only completed todos","SUCCESS","2023-08-24T18:43:36.961742723Z[Etc/UTC]","0.0","0.5"
"FilteringTodos","Should be able to view both complete and incomplete todos","SUCCESS","2023-08-24T18:43:38.876628039Z[Etc/UTC]","0.0","0.48"
"TodosBelongToAUser","Should not affect todos belonging to another user","SUCCESS","2023-08-24T18:43:28.466611551Z[Etc/UTC]","0.0","0.51"
"AddNewTodos","Should be able to add the first todo item","SUCCESS","2023-08-24T18:43:42.925591956Z[Etc/UTC]","0.0","0.48"
"AddNewTodos","Should be able to add additional todo items","SUCCESS","2023-08-24T18:43:44.038070109Z[Etc/UTC]","0.0","0.46"
